status	method	path	auth_used	url	response_snippet
200	POST	/auth/register	False	http://127.0.0.1:8000/auth/register	{"id":1,"email":"copilot_1773859901@example.com","username":"copilot_1773859901"}
200	POST	/auth/login	False	http://127.0.0.1:8000/auth/login	{"access_token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxIiwiZXhwIjoxNzczODYwODAyLCJ0eXBlIjoiYWNjZXNzIn0.rEQYEwugHWL6u9G3NipokxeWiJswJSB0kdCcX3RDEx4","refresh_to
401	GET	/admin/audit_logs	False	http://127.0.0.1:8000/admin/audit_logs	{"detail":"Missing credentials"}
401	GET	/admin/audit_logs/export/csv	False	http://127.0.0.1:8000/admin/audit_logs/export/csv	{"detail":"Missing credentials"}
401	GET	/admin/audit_logs/{id}	False	http://127.0.0.1:8000/admin/audit_logs/1	{"detail":"Missing credentials"}
401	POST	/admin/hierarchy/authors	False	http://127.0.0.1:8000/admin/hierarchy/authors	{"detail":"Missing credentials"}
401	PATCH	/admin/hierarchy/authors/{author_id}	False	http://127.0.0.1:8000/admin/hierarchy/authors/1	{"detail":"Missing credentials"}
401	POST	/admin/hierarchy/authors/{author_id}/works	False	http://127.0.0.1:8000/admin/hierarchy/authors/1/works	{"detail":"Missing credentials"}
401	PATCH	/admin/hierarchy/chapters/{chapter_id}	False	http://127.0.0.1:8000/admin/hierarchy/chapters/1	{"detail":"Missing credentials"}
401	PATCH	/admin/hierarchy/works/{work_id}	False	http://127.0.0.1:8000/admin/hierarchy/works/1	{"detail":"Missing credentials"}
401	POST	/admin/hierarchy/works/{work_id}/chapters	False	http://127.0.0.1:8000/admin/hierarchy/works/1/chapters	{"detail":"Missing credentials"}
401	GET	/admin/system_settings	False	http://127.0.0.1:8000/admin/system_settings	{"detail":"Missing credentials"}
401	GET	/admin/system_settings/{key}	False	http://127.0.0.1:8000/admin/system_settings/sample_key	{"detail":"Missing credentials"}
401	PUT	/admin/system_settings/{key}	False	http://127.0.0.1:8000/admin/system_settings/sample_key	{"detail":"Missing credentials"}
401	DELETE	/admin/system_settings/{key}	False	http://127.0.0.1:8000/admin/system_settings/sample_key	{"detail":"Missing credentials"}
401	GET	/admin/users	False	http://127.0.0.1:8000/admin/users	{"detail":"Missing credentials"}
401	POST	/admin/users	False	http://127.0.0.1:8000/admin/users	{"detail":"Missing credentials"}
401	GET	/admin/users/{user_id}	False	http://127.0.0.1:8000/admin/users/1	{"detail":"Missing credentials"}
401	PATCH	/admin/users/{user_id}	False	http://127.0.0.1:8000/admin/users/1	{"detail":"Missing credentials"}
401	GET	/analytics/demand	False	http://127.0.0.1:8000/analytics/demand	{"detail":"Missing credentials"}
401	GET	/analytics/growth	False	http://127.0.0.1:8000/analytics/growth	{"detail":"Missing credentials"}
401	GET	/analytics/top	False	http://127.0.0.1:8000/analytics/top	{"detail":"Missing credentials"}
200	GET	/articles	False	http://127.0.0.1:8000/articles	[]
